True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,82.6086956521739,8.333333333333334,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,0.0,5.882352941176471,10.0
sitting_phone_talking,0.0,25.0,20.0,0.0,9.090909090909092,0.0,17.391304347826086,17.391304347826086,16.129032258064516,0.0,0.0
standing,4.3478260869565215,8.333333333333334,26.666666666666668,5.882352941176471,4.545454545454546,0.0,8.695652173913043,0.0,3.225806451612903,11.764705882352942,0.0
standing_phone_talking,4.3478260869565215,12.5,6.666666666666667,35.294117647058826,18.181818181818183,14.285714285714286,4.3478260869565215,13.043478260869565,9.67741935483871,11.764705882352942,0.0
walking_cart,0.0,0.0,0.0,5.882352941176471,59.09090909090909,0.0,0.0,4.3478260869565215,6.451612903225806,0.0,0.0
walking_fast,0.0,0.0,0.0,0.0,0.0,80.95238095238095,0.0,0.0,3.225806451612903,5.882352941176471,0.0
walking_phone,4.3478260869565215,25.0,13.333333333333334,17.647058823529413,4.545454545454546,0.0,47.82608695652174,17.391304347826086,6.451612903225806,0.0,0.0
walking_phone_talking,0.0,16.666666666666668,13.333333333333334,17.647058823529413,0.0,4.761904761904762,0.0,39.130434782608695,0.0,0.0,0.0
walking_slow,0.0,0.0,6.666666666666667,5.882352941176471,4.545454545454546,0.0,4.3478260869565215,0.0,45.16129032258065,0.0,0.0
wandering,4.3478260869565215,4.166666666666667,13.333333333333334,11.764705882352942,0.0,0.0,17.391304347826086,4.3478260869565215,9.67741935483871,64.70588235294117,0.0
window_shopping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
